Year,state_id,Production(BU),Plant_Area(km^2),Harvest_Area(km^2),State_Code,State_Name
1988,23,4001103.05,33499.75695,9800.081007,MN,MINNESOTA
1988,24,6554607.278,4173.615311,4167.434185,MS,MISSISSIPPI
1988,25,7448912.573,24366.74623,8584.11052,MO,MISSOURI
1988,26,0,0,0,MT,MONTANA
1988,27,1260625.05,13056.15334,1951.900007,NE,NEBRASKA
1988,28,0,0,0,NV,NEVADA
1988,29,460625.0485,56.26810681,56.26810681,NH,NEW HAMPSHIRE
1988,30,3370002.796,559.3612412,559.3612412,NJ,NEW JERSEY
1988,31,8585.70669,59.48977573,21.26223668,NM,NEW MEXICO
1988,32,15199770.5,1991.804752,1991.804752,NY,NEW YORK
1988,33,26751304.37,5079.896874,5079.896874,NC,NORTH CAROLINA
1988,34,179853.6875,10346.99223,1561.65737,ND,NORTH DAKOTA
1988,35,67261187.3,21409.72273,21409.72273,OH,OHIO
1988,36,225582.121,1980.793931,283.8144428,OK,OKLAHOMA
1988,37,0,0,0,OR,OREGON
1988,38,23364989.23,3057.862472,3057.862472,PA,PENNSYLVANIA
1988,39,0,0,0,RI,RHODE ISLAND
1988,40,15927870.77,2459.297406,2459.297406,SC,SOUTH CAROLINA
1988,41,1927906.353,26656.13545,6402.913832,SD,SOUTH DAKOTA
1988,42,19389269.28,5532.287861,5532.287861,TN,TENNESSEE
1988,43,1085047.418,1918.402482,1184.853434,TX,TEXAS
1988,44,0,0,0,UT,UTAH
1988,45,2366314.782,242.3009744,242.3009744,VT,VERMONT
1988,46,17666128.3,2589.041169,2589.041169,VA,VIRGINIA
1988,47,0,0,0,WA,WASHINGTON
1988,48,4239946.354,566.940574,566.940574,WV,WEST VIRGINIA
1988,49,3568923.487,6971.121997,6280.716652,WI,WISCONSIN
1988,50,0,0,0,WY,WYOMING
1989,0,13485394.1,1407.160735,1407.160735,AL,ALABAMA
1989,2,0,0,0,AZ,ARIZONA
1989,3,11791224.42,2505.137525,2437.558415,AR,ARKANSAS
1989,4,0,0,0,CA,CALIFORNIA
1989,5,56137.21954,299.3437929,157.3270523,CO,COLORADO
1989,6,201745.0015,20.21940341,20.21940341,CT,CONNECTICUT
1989,7,6693057.594,717.8166193,717.8166193,DE,DELAWARE
1989,8,4627.938596,0.60303173,0.60303173,DC,DISTRICT OF COLUMBIA
1989,9,603736.176,77.94535015,77.94535015,FL,FLORIDA
1989,10,9590555.743,1130.797583,1130.788614,GA,GEORGIA
1989,12,0,0,0,ID,IDAHO
1989,13,220129170.3,46959.86718,46841.95882,IL,ILLINOIS
1989,14,223828696.1,26443.36128,26443.36128,IN,INDIANA
1989,15,142435932.2,51251.13763,50600.93137,IA,IOWA
1989,16,19379518.51,13329.19617,7856.753335,KS,KANSAS
1989,17,69477898.03,7306.457988,7306.457988,KY,KENTUCKY
1989,18,27835961.4,3959.53299,3959.53299,LA,LOUISIANA
1989,19,597830.4909,83.95746935,83.95746935,ME,MAINE
1989,20,19219892.86,2055.659016,2055.659016,MD,MARYLAND
1989,21,942426.3585,116.3754754,116.3754754,MA,MASSACHUSETTS
1989,22,53804107.96,9131.291298,9131.291298,MI,MICHIGAN
1989,23,40061772.54,33483.55082,22304.42871,MN,MINNESOTA
1989,24,34878475.18,4160.531345,4160.531345,MS,MISSISSIPPI
1989,25,102229045.7,24661.82667,23965.17594,MO,MISSOURI
1989,26,0,0,0,MT,MONTANA
1989,27,12992070.76,12937.2958,11773.21547,NE,NEBRASKA
1989,28,0,0,0,NV,NEVADA
1989,29,437952.3836,54.8817829,54.8817829,NH,NEW HAMPSHIRE
1989,30,5103044.69,556.8647384,556.8647384,NJ,NEW JERSEY
1989,31,13987.31743,60.24924522,46.77903958,NM,NEW MEXICO
1989,32,14695101.45,1921.519884,1921.519884,NY,NEW YORK
1989,33,46892692.42,5064.143037,5064.143037,NC,NORTH CAROLINA
1989,34,1518806.632,10372.887,3310.653856,ND,NORTH DAKOTA
1989,35,183213779.4,21499.4387,21499.4387,OH,OHIO
1989,36,2724042.405,1970.176559,1367.177723,OK,OKLAHOMA
1989,37,0,0,0,OR,OREGON
1989,38,26586354.64,2964.221338,2964.221338,PA,PENNSYLVANIA
1989,39,0,0,0,RI,RHODE ISLAND
